elkYear,date,X,Y,elevation
2073_1,2001-04-05,531508.99999998,4980941,2003.51184082031
2059_1,2001-04-06,557541.999999968,4974201,2087.408203125
2055_1,2001-04-06,550662.000000005,4972907,1903.54248046875
2073_1,2001-04-06,534031.999999994,4978782,2110.99243164063
2059_1,2001-04-07,557847.000000001,4974402.00000001,2117.80004882813
2055_1,2001-04-07,551845.000000001,4973229.00000001,1885.54052734375
2073_1,2001-04-07,533913.000000017,4978422,2096.9384765625
2073_1,2001-04-08,535816.000000009,4978606.00000001,2095.748046875
2059_1,2001-04-08,556566.999999969,4974275,2066.3720703125
2055_1,2001-04-08,548618.000000004,4973920,1907.8291015625
2073_1,2001-04-09,535477.000000004,4980884,1930.56359863281
2055_1,2001-04-09,547862.99999997,4973292,1955.10791015625
2059_1,2001-04-09,553306.99999996,4974143,1908.32604980469
2059_1,2001-04-10,553966.999999969,4975352,1890.98400878906
2073_1,2001-04-10,535988.999999983,4980465,2020.45971679688
2055_1,2001-04-10,547400.99999997,4974588,1859.52026367188
2059_1,2001-04-11,553365.000000025,4975868,1899.90026855469
2073_1,2001-04-11,536261.00000003,4980273,2025.25903320312
2055_1,2001-04-11,549142.999999989,4973150,1913.423828125
2059_1,2001-04-12,553276.999999997,4974796,1895.82373046875
2073_1,2001-04-12,537467.999999978,4978922.00000001,2124.08129882813
2055_1,2001-04-12,549680.999999973,4973366.00000001,1892.9990234375
2073_1,2001-04-13,535630.000000014,4980954,1931.86169433594
2059_1,2001-04-13,555362.999999986,4974791,2095.2744140625
2055_1,2001-04-13,547986.000000026,4972970.00000001,1958.88330078125
2059_1,2001-04-14,553673.000000018,4975538,1889.57458496094
2073_1,2001-04-14,535256.000000018,4980865,1922.69909667969
2055_1,2001-04-14,549463.000000013,4974051,1862.15637207031
2059_1,2001-04-15,553357.000000037,4975869,1899.90026855469
2073_1,2001-04-15,532949.000000027,4979291,2051.99560546875
2055_1,2001-04-15,549033.000000031,4973189,1900.41662597656
2055_1,2001-04-16,551075.000000032,4973076,1890.98400878906
2073_1,2001-04-16,533569.999999988,4980501,2019.15759277344
2059_1,2001-04-16,553780.000000029,4976062.00000001,1897.90625
2073_1,2001-04-17,534135.999999977,4980915,2011.80737304687
2055_1,2001-04-17,552181.000000008,4972210,1950.02563476563
2059_1,2001-04-17,555054.000000037,4974552,1978.83898925781
2073_1,2001-04-18,533258.000000038,4978898,2087.69873046875
2055_1,2001-04-18,550480.999999992,4972735,1911.60327148438
2059_1,2001-04-18,557210.999999965,4974245,2060.97583007813
2073_1,2001-04-19,532745.999999977,4979006,2031.08544921875
2059_1,2001-04-19,556702.999999963,4973817,2024.31494140625
2055_1,2001-04-19,550946.000000002,4972699.00000001,1900.35278320313
2059_1,2001-04-20,556726.999999992,4974146,2054.01708984375
2073_1,2001-04-20,533665.000000032,4978354,2072.58544921875
2055_1,2001-04-20,549404.000000012,4973544,1890.94873046875
2059_1,2001-04-21,554784.999999973,4974992,2015.40759277344
2073_1,2001-04-21,533290.999999977,4981057,1944.95959472656
2055_1,2001-04-21,547999.999999971,4974012,2007.68969726562
2073_1,2001-04-22,532720.000000037,4981101,1935.53198242188
2055_1,2001-04-22,546113.999999989,4977374.00000001,1873.48120117188
2059_1,2001-04-22,554179.999999996,4975634,1890.73571777344
2055_1,2001-04-23,542943.000000019,4979110,1808.85583496094
2073_1,2001-04-23,531988.000000023,4980174,1990.84680175781
2059_1,2001-04-23,553180.000000004,4975966,1928.68005371094
2055_1,2001-04-24,543910.999999973,4979134,1839.22814941406
2059_1,2001-04-24,553589.999999975,4975920,1890.43115234375
2073_1,2001-04-24,532515.000000001,4978753,2022.62145996094
2055_1,2001-04-25,545415.999999996,4979966,2013.494140625
2073_1,2001-04-25,533041.000000026,4978710,2044.37744140625
2059_1,2001-04-25,553993.999999976,4975336.99999999,1891.8154296875
2073_1,2001-04-26,534058.00000001,4978907,2115.18701171875
2055_1,2001-04-26,546399.999999994,4978535,1996.88647460938
2059_1,2001-04-26,553923.99999998,4976425,1902.37719726563
2073_1,2001-04-27,536839.999999972,4979932,2058.65576171875
2055_1,2001-04-27,546844.999999997,4978113,1991.5185546875
2059_1,2001-04-27,555060.999999998,4978172,1932.26086425781
2073_1,2001-04-28,537887.000000016,4978726,2146.62109375
2055_1,2001-04-28,548014.99999996,4976254,1972.81640625
2059_1,2001-04-28,555035.999999979,4978175.99999999,1933.40124511719
2055_1,2001-04-29,548420,4976204.00000001,1950.4921875
2059_1,2001-04-29,557150.000000018,4978724,1975.25671386719
2073_1,2001-04-29,536573.999999967,4978590,2049.48486328125
2073_1,2001-04-30,536001.999999969,4979826,2015.84619140625
2059_1,2001-04-30,557179.999999975,4979211,2046.00524902344
2055_1,2001-04-30,549469.999999973,4974930,1866.94897460938
2059_1,2001-05-01,557308.999999961,4979307.00000001,2038.86157226563
2055_1,2001-05-01,551253.999999958,4973740,1920.73779296875
2073_1,2001-05-01,535298.99999997,4980783,1926.93200683594
2055_1,2001-05-02,552518.999999985,4972313,1972.060546875
2073_1,2001-05-02,533754.999999968,4981802,1918.63916015625
2059_1,2001-05-02,558182.999999992,4978826,2007.44946289063
2073_1,2001-05-03,533358.999999971,4981236,1946.15893554688
2055_1,2001-05-03,555258.000000021,4973332.00000001,2063.01977539063
2059_1,2001-05-03,561222.999999973,4981348,2028.27465820313
2059_1,2001-05-04,562813.000000021,4982764,2048.287109375
2055_1,2001-05-04,563055.000000011,4969322,2085.24658203125
2073_1,2001-05-04,533281.000000017,4980526,1984.12072753906
2055_1,2001-05-05,563002.999999978,4969416,2082.3349609375
2059_1,2001-05-05,562784.99999996,4983616,2062.7724609375
2073_1,2001-05-05,534089.999999963,4978874,2115.00756835938
2055_1,2001-05-06,558257.999999989,4973777,2038.7587890625
2073_1,2001-05-06,531361.000000018,4981184.99999999,2063.29248046875
2059_1,2001-05-06,563114.000000034,4982968,2036.88879394531
2059_1,2001-05-07,563559.000000015,4984479,2062.02783203125
2073_1,2001-05-07,531346.000000022,4981537.99999999,2160.74951171875
2055_1,2001-05-07,556256.99999997,4974418,2098.89697265625
2055_1,2001-05-08,554974.000000003,4974656,1980.39306640625
2073_1,2001-05-08,533532.999999996,4978751.99999999,2097.64038085938
2059_1,2001-05-08,563400.999999999,4983360.00000001,2017.37866210938
2055_1,2001-05-09,557135.999999969,4974211,2063.59985351563
2059_1,2001-05-09,562828.999999967,4982728,2033.33154296875
2073_1,2001-05-09,534349.999999998,4977947,2113.841796875
2073_1,2001-05-10,535165.999999962,4978440,2102.61791992188
2055_1,2001-05-10,556876.999999967,4975104,2122.83740234375
2059_1,2001-05-10,563646,4983491,2013.9833984375
2055_1,2001-05-11,557401.000000003,4974908.00000001,2124.654296875
2059_1,2001-05-11,562446.000000006,4982051,2012.86840820313
2073_1,2001-05-11,534670.999999978,4978526.00000001,2115.76318359375
2055_1,2001-05-12,557127.000000023,4974444,2078.2587890625
2059_1,2001-05-12,562123.000000018,4982425,2030.74279785156
2073_1,2001-05-12,535500.999999974,4977444,2197.1923828125
2073_1,2001-05-13,535958.999999985,4977895,2117.41918945313
2059_1,2001-05-13,562088.999999998,4982296,2027.029296875
2055_1,2001-05-13,556514.999999993,4974608,2085.17529296875
2073_1,2001-05-14,537298.999999976,4977447,2136.25268554688
2059_1,2001-05-14,561773.000000027,4982199,2042.58337402344
2055_1,2001-05-14,556815.999999974,4973966,2029.31958007813
2073_1,2001-05-15,537134.000000031,4977435,2150.4873046875
2059_1,2001-05-15,562639.000000021,4982657,2024.35083007813
2055_1,2001-05-15,557605.999999986,4973740,1980.69189453125
2073_1,2001-05-16,539890.999999982,4978299,2118.8310546875
2059_1,2001-05-16,563251.000000035,4983499,2039.31872558594
2055_1,2001-05-16,555421.999999981,4974473,2036.79907226562
2055_1,2001-05-17,554773.999999974,4974583,1939.7568359375
2059_1,2001-05-17,562763.000000028,4983637,2064.80200195313
2073_1,2001-05-17,538381.999999976,4979552,2035.98046875
2059_1,2001-05-18,562406.999999976,4982773.99999999,2035.58837890625
2073_1,2001-05-18,540777.000000002,4974914,2432.8193359375
2055_1,2001-05-18,556596.999999964,4975187,2121.85717773438
2059_1,2001-05-19,563244.999999962,4983400,2035.82055664063
2055_1,2001-05-19,556292.999999968,4974800,2107.94067382813
2073_1,2001-05-19,538770.000000033,4955500,2464.73193359375
2059_1,2001-05-20,562287.000000004,4982653,2028.54650878906
2073_1,2001-05-20,533105.000000005,4917632,2408.2236328125
2055_1,2001-05-20,554797.999999983,4974570,1940.93115234375
2073_1,2001-05-21,533090.00000002,4917771.00000001,2407.712890625
2055_1,2001-05-21,554347.999999994,4974872.00000001,1967.68286132813
2059_1,2001-05-21,563683.000000006,4985170,2105.26831054688
2073_1,2001-05-22,529520.999999983,4907578.99999999,2385.2470703125
2059_1,2001-05-22,562173.000000003,4982325,2025.17199707031
2055_1,2001-05-22,555954.00000003,4974549,2112.478515625
2059_1,2001-05-23,562098.000000005,4982666,2044.52111816406
2055_1,2001-05-23,558049.999999965,4974020,2057.05493164063
2073_1,2001-05-23,529335.999999976,4907743,2388.97802734375
2073_1,2001-05-24,530693.000000035,4907934,2372.73901367188
2059_1,2001-05-24,562308.999999981,4982220,2018.5771484375
2055_1,2001-05-24,558046.000000009,4970157,2151.236328125
2073_1,2001-05-25,530683.000000007,4907906.00000001,2372.73901367188
2055_1,2001-05-25,558227.999999997,4969450,2174.517578125
2059_1,2001-05-25,562026.000000015,4981804,2009.697265625
2055_1,2001-05-26,560029.000000037,4969169,2179.09228515625
2059_1,2001-05-26,563561.999999979,4984634,2074.10522460938
2073_1,2001-05-26,530678.00000003,4908014,2374.23120117188
2055_1,2001-05-27,559963.000000009,4969080,2201.83251953125
2073_1,2001-05-27,531328.000000031,4907863,2375.85498046875
2059_1,2001-05-27,563171.99999998,4983386,2049.080078125
2059_1,2001-05-28,562106.000000011,4982255,2024.96740722656
2055_1,2001-05-28,563786.000000027,4965859.99999999,2209.20336914063
2073_1,2001-05-28,529521.000000019,4907580,2385.2470703125
2073_1,2001-05-29,529499.999999986,4907752,2384.91723632813
2055_1,2001-05-29,563769.999999986,4965628.00000001,2209.33984375
2059_1,2001-05-29,562829,4983668,2061.1865234375
2055_1,2001-05-30,563669.000000031,4965401,2234.61328125
2059_1,2001-05-30,562619.000000022,4982601,2022.21337890625
2073_1,2001-05-30,529602.000000018,4907617.00000001,2380.88134765625
2073_1,2001-05-31,527587.999999996,4906723.00000001,2373.57666015625
2055_1,2001-05-31,564486.999999986,4964720,2307.44897460938
2059_1,2001-05-31,562030.999999961,4982829,2057.89306640625
2059_1,2001-06-01,562285.000000015,4982603.00000001,2027.91259765625
2073_1,2001-06-01,528412.000000008,4904006,2377.48828125
2055_1,2001-06-01,566055.000000009,4963037,2246.38720703125
2055_1,2001-06-02,565795.999999968,4962709,2333.947265625
2073_1,2001-06-02,527481.000000027,4906163,2373.0224609375
2059_1,2001-06-02,562344.000000036,4981990,2013.73901367188
2059_1,2001-06-03,562241.000000006,4982076.00000001,2015.46130371094
