elkYear,date,X,Y,elevation
3057_1,2019-10-14,624320.361416859,4846581.56800131,3034.07641601563
3057_1,2019-10-15,624478.526575432,4846994.60334475,3114.009765625
3057_1,2019-10-16,624631.642557725,4846940.24606283,3101.26708984375
3057_1,2019-10-17,625037.865350738,4847386.49310621,3190.4638671875
3057_1,2019-10-18,626113.176443729,4848265.04012587,3094.44921875
3057_1,2019-10-19,626458.134381711,4848290.6884555,3126.36474609375
3057_1,2019-10-20,628366.019633664,4850758.96746634,3198.8173828125
3057_1,2019-10-21,628863.915233916,4850730.36503003,3139.68505859375
3057_1,2019-10-22,628947.51289427,4850693.8737843,3110.00537109375
3057_1,2019-10-23,629072.541891746,4850658.18662676,3048.10791015625
3057_1,2019-10-24,629264.017018675,4850404.35398255,2991.74853515625
3057_1,2019-10-25,629310.180448906,4850157.36933063,3023.87060546875
3057_1,2019-10-26,629171.383299749,4850192.78533683,3074.54736328125
3057_1,2019-10-27,629171.306446842,4849839.90663037,3068.38037109375
3057_1,2019-10-28,629062.132200461,4849771.01445784,3057.98901367188
3057_1,2019-10-29,629062.315153092,4849761.57388157,3057.98901367188
3057_1,2019-10-30,629173.340043734,4849735.06069499,3000.7900390625
3057_1,2019-10-31,629077.552339233,4849685.53845918,3030.12744140625
3057_1,2019-11-01,629116.032299174,4849838.83475059,3082.12622070313
3057_1,2019-11-02,629237.747964689,4849974.74684283,3072.94091796875
3057_1,2019-11-03,629074.964903949,4849819.03931191,3073.8427734375
3057_1,2019-11-04,628991.355796208,4849855.52915383,3086.73266601563
3057_1,2019-11-05,629258.320126954,4849984.70136272,3066.16528320313
3057_1,2019-11-06,628701.942409663,4849821.26408373,3143.82299804688
3057_1,2019-11-07,628964.128968854,4849835.89139559,3063.10327148438
3057_1,2019-11-08,628937.454615188,4849787.70989194,3029.01928710938
3057_1,2019-11-09,629051.887501096,4849942.47674691,3133.31469726563
3057_1,2019-11-10,628975.014222831,4849988.65249935,3160.26708984375
3057_1,2019-11-11,628681.551382514,4849801.87073665,3142.98388671875
3057_1,2019-11-12,628536.566772429,4849799.0708558,3129.75317382813
3057_1,2019-11-13,628635.590438396,4849676.98737848,3095.20654296875
3057_1,2019-11-14,628697.233741632,4849706.73280578,3101.23852539063
3057_1,2019-11-15,628619.438108257,4849800.67084498,3131.6982421875
3057_1,2019-11-16,628656.717923207,4849658.28507712,3076.00439453125
3057_1,2019-11-17,628650.534301752,4849620.05591961,3066.4501953125
3057_1,2019-11-18,628699.259791663,4849601.88690259,3042.40258789063
3057_1,2019-11-19,628601.993526082,4849628.67364899,3054.07983398438
3057_1,2019-11-20,628553.637257364,4849627.74009069,3058.1884765625
3057_1,2019-11-21,628696.864584665,4849725.83608647,3101.23852539063
3057_1,2019-11-22,628942.254026886,4849539.81151002,2987.685546875
3057_1,2019-11-23,628996.332611773,4849245.31353851,2983.267578125
3057_1,2019-11-24,628927.953201716,4849205.76878111,2987.68896484375
3057_1,2019-11-25,628914.561278102,4849186.51026729,2985.34545898438
3057_1,2019-11-26,628872.936949502,4849195.26002138,2987.49853515625
3057_1,2019-11-27,628902.56751242,4849090.83716461,2932.83349609375
3057_1,2019-11-28,628249.670476036,4848191.3822204,2945.83569335938
3057_1,2019-11-29,627677.000673031,4847789.40195528,3015.625
3057_1,2019-11-30,626836.486886925,4845837.45283362,2651.31005859375
3072_2,2019-12-01,684074.768772388,4823865.84604517,2443.16479492188
3038_2,2019-12-01,624494.903883281,4806896.91395469,2186.162109375
3048_2,2019-12-01,651586.463780174,4833898.10198104,2804.13110351563
3052_2,2019-12-01,658459.96647998,4781075.86595648,1909.87890625
